name,movie_title,number_of_lines,age_bracket,profession,religion,country_of_origin,additional_info,quote,annotated,speaker_id,movie_id,gender,description,source
karen,all about eve,177,Adult,Unemployed,Unknown,USA,Played by Celeste Holm. Is the supporting protagonist.,A part in a play... you'd do all that just for a part in a play.,True,u3604,m238,A woman,Karen Richards is a very caring and sensitive woman and a close and supportive friend to Margo. Karen is also not afraid to stand her ground. ,https://great-characters.fandom.com/wiki/Karen_Richards
kay,men in black,147,Adult,Special Agent,Unknown,USA,,"A person is smart. People are dumb, panicky dangerous animals and you know it. Fifteen hundred years ago everybody knew the Earth was the center of the universe. Five hundred years ago, everybody knew the Earth was flat, and fifteen minutes ago, you knew that humans were alone on this planet. Imagine what you'll know tomorrow.",True,u1906,m125,A man,"Kay, or Agent K (born Kevin Brown), was one of the people who made first contact with the first aliens to arrive on Earth, and became one of the founding members of the Men In Black. On July 16, 1969, K saved the world from invasion by attaching the ArcNet, a planetary shield, to the Apollo 11 rocket so that it would be deployed in space.",https://en.wikipedia.org/wiki/Agent_K
leon,ninotchka,294,Adult,Nobleman,Unknown,France,,"A Russian! I love Russians! Comrade, I've been fascinated by your five-year plan for the last fifteen years.",True,u2312,m149,A man,"Count Leon d'Algout is amiable, charming and cunning. Leon treats the three Russians to an extravagant lunch, gets them drunk and easily wins their friendship and confidence. He sends a telegram to Moscow in their name suggesting a compromise.",https://en.wikipedia.org/wiki/Ninotchka
david,independence day,74,Adult,"Former Scientist, Current Cable Technician",Unknown,USA,Played by Jeff Goldblum,"A toast, to the end of the world.",True,u1435,m97,A man,"After attempts to communicate with the aliens go nowhere, David Levinson, an MIT graduate and ex-scientist turned cable technician, discovers that the aliens are going to attack major points around the globe in less than a day. David succeeds in reporting to the President of the United States. David plays a key role in saving the world first by warning the president of the alien attack countdown and then by uploading a computer virus into the mothership disabling the aliens' shields. Luckily for David (and everyone), David is able to save the planet and, in the process, clean up his life. ",https://independenceday.fandom.com/wiki/David_Levinson
jesse,american outlaws,199,Adult,Ex-Confederate Soldier; Outlaw,Baptist,USA,Played by Colin Farrell. Not historically accurate. ,A war against the railroad... what the hell was I thinking?,True,u313,m19,A man,"Full name Jesse James, ex-confederate guerrilla soldier, who upon hearing about the end of the American Civil War decides to return to Missouri, alongside the Younger Brothers and his brother (Frank James). Their town is occupied by the Union Army. Jesse's childhood friend Zee has grown into an attractive woman and Farmers are being pressured into selling their farms to the rail road company. If they don't sell their land to Thaddeus Rains, and his secret-service organizer, Allan Pinkerton, the farmers are burned out of their homes, or killed.
Frank finds the railroad doesn't even need their land. The James and Younger brothers don't want to sell, and Cole Younger loses his temper when several railroad men approach him about selling, and kills two of them. The army decides to hang him, but his brothers Bob and Jim, along with Jesse, Frank, and Zee, decide to rescue him. During the rescue, Jesse is shot in the shoulder, and hides out at Zee's.
A few weeks later, when Jesse has recovered, the railroad sets fire to the James' home, killing Jesse's mother. The James and Younger brothers ride out for revenge against the railroad men but instead focus on the bank's payroll, reasoning that if they steal the money and attack supply trains, the army will notice. Dubbing themselves the James–Younger Gang, they set out robbing banks, with Pinkerton and Rains struggling to stop them. The James gang turns themselves into folk heroes in the process.The gang struggles over leadership, with Cole feeling that Jesse is getting an overblown ego from the publicity of the gang's activities. Jesse backs down, after an argument, and lets Cole plan and execute a robbery; Cole's chosen target proves to be a trap set by Pinkerton and Rains. Jim is shot and killed, and Jesse and his brother leave the gang, with Jesse later marrying Zee. When Jesse and Zee attempt to start a new life, Pinkerton finds and arrests Jesse. During the train ride to the jail, Jesse is chained in a rear car, but tricks a deputy into showing his gun, which he takes from him and uses to escape to the top of the train car.
Zee and the remainder of the Gang shoot a cannon at the train, stopping it and rescuing Jesse. Confronted with Rains and Pinkerton, Jesse shoots neither of them but rather Rains' prized watch. Pinkerton tells Jesse that he should go to Tennessee, as 'the railroad has no interest in Tennessee'.",https://en.wikipedia.org/wiki/Jesse_James
lisa,rear window,116,Adult,Fashion Model,Unknown,USA,,"A woman never goes anywhere but the hospital without packing makeup, clothes, and jewelry.",True,u2575,m167,A woman,,
dean,enemy of the state,375,Adult,Lawyer,Unknown,USA,Played by Will Smith,"Actually, I believe the term ""shyster"" is reserved for attorneys of the Jewish persuasion. I believe the proper term for me is ""eggplant"".",True,u5016,m333,A man,"Labor lawyer Robert Clayton ""Bobby"" Dean is working with his firm on a case involving restaurant owner and mob boss Paulie Pintero. There is a subterfuge which destroys Dean's life: he is fired from his law firm, his bank accounts are frozen pending a federal investigation, and his wife, Carla, throws him out.",https://en.wikipedia.org/wiki/Enemy_of_the_State_(film)
bree,klute,169,Adult,"Prostitute, Model, Aspiring Actress",Unknown,USA,"Bree's full name is inconsistent throughout the movie (sometimes she is Bree Daniels, other times she is Bree Daniel. The end credits read Bree Daniel)","After all, for an hour, I'm the best actress in the world!",True,u6204,m415,A woman,"Bree appears to enjoy the freedom of freelancing as a call girl while auditioning for acting and modeling jobs, but she reveals the emptiness of her life to her psychiatrist.  A voiceover conversation with her psychiatrist reveals her hesitancy to surrender her life of autonomy to enter into a traditional relationship with Klute, saying that she would lose her mind if she turned to a domestic lifestyle.",https://en.wikipedia.org/wiki/Klute
james,crash,68,Adult,TV Director,Unknown,USA,,"After being bombarded endlessly by road safety propaganda, almost a relief to have found myself in an actual accident.",True,u4642,m307,A man,,
exley,l.a. confidential,156,Adult,Police Sergeant,Unknown,USA,Played by Guy Pearce,All I ever wanted was to measure up to my father.,True,u4997,m332,A man,"Sergeant Edmund Exley is determined to live up to the reputation of his father, who was killed his prototype of ""the guy who gets away with it."" He volunteers to testify against corrupt police officers involved in the ""Bloody Christmas"" case in exchange for promotion to Detective Lieutenant, against the advice of precinct captain Dudley Smith.",https://en.wikipedia.org/wiki/L.A._Confidential_(film)
jay,men in black,98,Adult,Special Agent,Unknown,USA,Played by Will Smith,"All right, I'm in. 'Cause there's some next level shit going on and I'm OK with that. But before y'all go beaming me up there's one thing you gotta remember: You chose me... so you recognized the skills, so I don't want nobody calling me son or kid or sport or nothing like that, cool?",True,u1904,m125,A man,"Agent J (usually called Jay), originally James Darrell Edwards III, is one of the two protagonists of the Men in Black film series. He is an agent of the MiB, after being recruited by Agent K. He is energetic and tries to bring life and emotion back to the bland organization. ",https://meninblack.fandom.com/wiki/Agent_J
norma,sunset blvd.,139,Adult,"Actress, Former Silent Movie Star",Unknown,USA,,"All right, Mr. DeMille, I'm ready for my close-up.",True,u7965,m539,A woman,"Norma Desmond is a former silent-film star who draws him into her deranged fantasy world, where she dreams of making a triumphant return to the screen. ",https://en.wikipedia.org/wiki/Sunset_Boulevard_(film)
viola,shakespeare in love,95,Adult,"Noblewoman, Actress",Unknown,UK,,"All the men at court are without poetry. If they see me, they see my father's fortune, I - will have poetry in my life. And adventure. And love. Love above all.",True,u7569,m511,A woman,"Viola de Lesseps, daughter of a wealthy merchant, who has seen Shakespeare's plays at court, disguises herself as a man named Thomas Kent to audition. Kent gains Shakespeare's interest with a speech from Two Gentlemen of Verona, but runs away when Shakespeare questions her. ",https://en.wikipedia.org/wiki/Shakespeare_in_Love
quincy,love & basketball,206,,"Student ,  Basketball Player",Unknown,USA,Quincy is seen across different ages. The story takes place across four 'quarters'.,All's fair in love and basketball.,True,u6413,m427,A man,"Since childhood, Quincy McCall and Monica Wright have wanted to be professional basketball stars. As a boy, Quincy's natural star potential is recognized and encouraged early on. As a child, Quincy and Monica are drawn to each other instantly, sharing a love of basketball. Quincy is shocked that a girl could ever love basketball as much as he did, and he is even more shocked when Monica beats him during their first ever game of one on one. He angrily knocks her down during game point, and accidentally cuts her face. In high school, Quincy is tipped to be a star. He is extremely popular with the other students, could have any girl in school that he wanted to, and dates one of the prettiest girls in school, but is still good friends and neighbors with Monica. At college, Quincy finds instant success on the court. Quincy struggles to deal with the media attention, while clashing against his father's efforts to convince Quincy to finish college before going pro. Quincy blatantly cheats on Monica and makes sure she sees him, and the couple breaks up. Having left USC after his freshman season, Quincy is now engaged and in his fifth year in the pros, trying to find a role with his new team, the Los Angeles Lakers. He suffers a devastating knee injury when he lands awkwardly after the play, tearing his AC. The film ends with him realising he loves Monica again and doesn't want to be apart from her. He is shown, with their daughter, cheering Monica on from the sidelines. ",https://en.wikipedia.org/wiki/Love_%26_Basketball
ethan,the searchers,133,Adult,Former Soldier,Unknown,USA,Played by John Wayne. ,"Alright, but I'm giving the orders here. I'm giving the orders and you'll follow 'em, or we're splitting up right here and now!",True,u7533,m509,A man,"Ethan Edwards is racist towards Native Americans including the Comanches who killed most of his family, and kidnapped his niece.  Ethan's hard-driven mission to find Debbie becomes a combination of self-discovery, revenge in the name of Martha's death, racist hatred and intolerance, use of survivalist techniques and knowledge of the ways of the Indians, and now homicidal rage.",https://hero.fandom.com/wiki/Ethan_Edwards
marylin,intolerable cruelty,208,Adult,Unemployed,Unknown,USA,,"Alright, Miles. Let me tell you everything you need to know. You may think you're tough, but I eat men like you for breakfast.",True,u1519,m102,A woman,"Marylin Rexroth's primary motivation is obtaining wealth and independence via divorce. Marylin wants revenge, so she plans to nail Miles and to get all his fortune.",https://catherine-zetajones.fandom.com/wiki/Marylin_Rexroth
craig,being john malkovich,191,Young Adult,File clerk at LesterCorp,Unknown,USA,,"Am I inside him? Am I in his brain? Am I him? Is he me? Does he know I'm here? It raises all sorts of philosophical questions about the nature of self, about the existence of the soul. Am I me? Is Malkovich Malkovich? Was the Buddha right, is duality an illusion?",True,u4020,m267,A man,"Craig Schwartz is an unemployed puppeteer in New York City, in a forlorn marriage with his pet-obsessed wife, Lotte. He develops an attraction to co-worker Maxine Lund, who does not return his affections. He finds he can inhabit John Malkovich's mind and exploit this for profit. ",https://en.wikipedia.org/wiki/Being_John_Malkovich
mcmurphy,one flew over the cuckoo's nest,266,Adult,"Korean War Veteran, Criminal",Unknown,USA,Played by Jack Nicholson,"And now they're telling me I'm crazy over here because I don't sit there like a goddamn vegetable. Don't make a bit of sense to me. If that's what being crazy is, then I'm senseless, out of it, gone-down-the-road, wacko. But no more, no less, that's it.",True,u6921,m463,A man,"Randle Patrick McMurphy is an Irish American brawler found guilty of battery, gambling and statutory rape. He decides to have himself declared insane in order to be transferred to a mental institution, where he expects to serve the rest of his time in comparative comfort and luxury. McMurphy makes it his mission to flout Nurse Ratched's regime of rules and punishment and to liberate the other patients from her grip.",https://en.wikipedia.org/wiki/Randle_McMurphy
margo,the relic,111,Adult,Evolutionary Biologist,Unknown,USA,,And what does this God specialize in?,True,u8170,m554,A woman,"Dr. Margo Green is an ethnopharmacologist and geneticist. After her father dies, Margo struggles to find time for her dissertation in spite of an active police investigation and the impending opening of a major new museum exhibition, but Margo ultimately decides to remain at the museum to finish her dissertation in the PhD program.",https://prestonchild.fandom.com/wiki/Margo_Green
paul,misery,132,Adult,Best-Selling Novelist,Unknown,USA,,"Annie, whatever you're thinking about doing, please don't do it.",True,u6615,m441,A man,"Famed novelist Paul Sheldon is the author of a successful series of Victorian romance novels featuring a character named Misery Chastain. Wanting to focus on more serious stories, he writes a manuscript for a new novel that he hopes will launch his post-Misery career. While traveling from Silver Creek, Colorado, to his home in New York City, Paul is caught in a blizzard and gets into an accident, rendering him unconscious. A nurse named Annie Wilkes finds him and brings him to her remote home. Paul regains consciousness and finds himself bedridden with broken legs and a dislocated shoulder. Out of gratitude to Annie for taking him in, Paul lets her read his new manuscript. Annie is angry that Misery dies and Paul is then effectively taken as prisoner in her secluded home. Paul's ankles are broken with a sledgehammer by Annie, when she discovers that Paul has been sneaking out of his room. The local sheriff, Buster, is investigating Paul's disappearance. Clues lead him to pay Annie a visit but she fatally shoots him when he finds Paul drugged in the basement; she then attempts to kill Paul in a murder-suicide, but Paul, concealing a can of lighter fluid in his pocket, convinces her to let him live long enough to finish the novel in order to ""give Misery back to the world."" When the manuscript is done, Paul asks for a cigarette and champagne, to which Annie complies. He sets the manuscript on fire. As Annie rushes to save it, Paul strikes her with the typewriter and they engage in a violent struggle, with Paul suffering a gunshot wound to the shoulder from her revolver. He trips her, causing her to hit her head on the typewriter, then crawls out of the room, but Annie attacks again. Paul grabs a metal doorstop and bashes her in the face, finally killing her. Eighteen months later, Paul, now walking with a cane, meets his agent, Marcia, in a restaurant in New York City. The two discuss his first post-Misery novel, and Marcia tells him about the positive early buzz. Paul replies that he wrote the novel for himself as a way to help deal with the horrors of his captivity. Marcia asks if he would consider a non-fiction book about his captivity, but Paul—who suffers psychological trauma from the experience—declines. Paul then sees Annie approaching him, only to realize that he is hallucinating. In actuality, the figure he sees is a waitress, who tells Paul that she is his number one fan, causing Paul to meekly reply ""That's very sweet of you.""",https://en.wikipedia.org/wiki/Misery_(film)
harry,lord of illusions,222,Adult,Private Detective,Spiritual ,USA, ,Any movie stars buried here?,True,u6367,m424,A man,"Harry D'Amour is an occult-specializing private detective who has been shaken by an exorcism case. He accepts a case of insurance fraud in Los Angeles, hoping the experience will be akin to a paid vacation. During his investigation, D'Amour happens upon Quaid, now working as a fortune teller, being attacked by Butterfield and Ray Miller, a man possessing great strength. Butterfield and Miller escape. As he dies from multiple stab wounds, Quaid reads D'Amour's palm, seeing it is his destiny to ""walk the line between Heaven and Hell"". He warns that the Puritan is coming, then dies. Before he can leave Los Angeles, D'Amour is hired by Dorothea, who read about him in the newspaper story about Quaid. Dorothea fears for her husband. D'Amour agrees to investigate if Quaid's killers are targeting Phillip, and Dorothea invites him to his next magic show. A new illusion goes wrong and Swann is killed on stage, stabbed by multiple swords. Investigating backstage, D'Amour is attacked by Butterfield and Miller. Defending himself, he inadvertently kills Miller, but Butterfield escapes. The next day, D'Amour goes to the Magic Castle. After getting into the Repository, a room supposedly containing every magic secret known to man, D'Amour discovers Swann's ""illusions"" involved real magic he learned from Nix.",https://en.wikipedia.org/wiki/Lord_of_Illusions
somerset,seven,202,Adult,Homicide Detective,Unknown,USA,Played by Morgan Freeman.,Anyone who spends a significant amount of time with me finds me disagreeable. ,True,u7524,m508,A man,"Detective William R. Somerset is an aging, cynical cop who tries to apprehend a serial killer who patterns his murders after the Seven Deadly Sins.",https://hero.fandom.com/wiki/William_Somerset
dade,hackers,124,,Hacker,Unknown,USA,,"Anything else, mom? You want me to mow the lawn? Oops! I forgot, New York, No grass.",True,u5691,m377,A man,"On August 10, 1988, 11-year-old Dade ""Zero Cool"" Murphy's family is fined $45,000 for his crashing of 1,507 computer systems causing a 7-point drop in the New York Stock Exchange. He is banned from computers and touch-tone telephones until he is 18 years old. On his 18th birthday, he hacks into a local television station and changes the broadcast to an episode of The Outer Limits. Another hacker (handle ""Acid Burn"") counters Dade's attack. Dade identifies himself as ""Crash Override"". At school, Dade becomes part of a group of hackers. Dade and Kate make a bet, with Dade choosing a date with Kate should he win, and Kate having Dade perform menial computing tasks if she prevails. Kate and Cereal Killer ask for Dade's help which he refuses as he has a record. He copies the disk so they have un-tampered evidence. Determining that Dade did not hack into Ellingson, The Plague sends him a powerful laptop with a request that he join him. Dade is later threatened with his mother's incarceration with a manufactured criminal record. At this, Dade agrees to deliver Kate's copy of the disk. Dade confesses that he gave Plague the disk and reveals his hacking history as ""Zero Cool"". Dade and Kate seek out Razor and Blade, producers of ""Hack the Planet"", a hacker-themed TV show. The next morning, Dade, Kate, Nikon and Cereal roller-blade from Washington Square Park, evading the Secret Service by hacking the traffic lights. After crashing the Gibson, Dade and company are arrested. Dade surreptitiously informs Cereal Killer that he's tossed the disk in a trashcan. As Dade and Kate are being interrogated, Razor and Blade jam television signals and broadcast live video of Cereal Killer revealing the plot and Plague's complicity. Their names cleared, Dade and Kate begin a relationship.",https://en.wikipedia.org/wiki/Hackers_(film)
freddy,young frankenstein,263,Adult,Neurology Professor,Unknown,USA,Played by Gene Wilder. Young Frankenstein is directed by Mel Brooks. He and Gene Wilder co-wrote the screenplay and screen-story.,"Are you saying that I put an abnormal brain into a seven and a half foot long, fifty-four inch wide GORILLA?",True,u9017,m615,A man,"Dr. Frederick Frankenstein is the grandson of the original Dr. Frankenstein but he prefers to be called ""Fronkensteen"" and tries not to follow in his grandfather's footsteps. When he inherits his grandfather's castle in Transylvania, he must choose whether to go on or resume his grandfather's crazed experiments of bringing the dead back to life.",https://hero.fandom.com/wiki/Dr._Frederick_Frankenstein
indiana,indiana jones and the temple of doom,168,Adult,Professor; Archeologist; Adventurer,Unknown,USA,Played by Harrison Ford,Are you trying to develop a sense of humor or am I going deaf?,True,u1463,m99,A man,Indiana Jones is an archaeologist adventurer who is asked by a desperate Indian village to retrieve a mysterious stone and rescue the missing village children. He is brave and muscular. ,https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Temple_of_Doom
bud,the abyss,129,Adult,Oil Rig Driller,Unknown,USA,,"As a personal favor to me, will you try to put your tongue in neutral for a while?",True,u3520,m232,A man,"Virgil 'Bud' Brigman is Lindsey's estranged husband. Bud must use his strength and determination on a rescue mission, but feels the pressure. It is assumed he dies, but he then emerges from the water and redeclares his love for Lindsey. ",https://en.wikipedia.org/wiki/The_Abyss
henry,goodfellas,129,Adult,Gangster,Catholic (implied),USA,,"As far back as I can remember, I always wanted to be a gangster",True,u5591,m372,A man,"From an early age, Hill admired the local mobsters who socialized at a dispatch cabstand across the street from his home. He got arrested multiple times. He was a notorious mobster. ",https://en.wikipedia.org/wiki/Henry_Hill
maura,house of the damned,100,Adult,Unknown,Unknown,USA,Played by Alexandra Paul,"Baby come back to us, Okay.",True,u5930,m392,A woman,"Maura and Will move into Glen Abbey after Maura inherits it from a relative. Maura has a vision of Will having sex with Amy on the family car. Convinced the encounter actually occurred, she locks him out of the house and seals herself inside with Aubrey. Apparently possessed, Maura locks Aubrey in her bedroom. After, a beam of light emanates from the wound, and Maura awakens, healed and restored to her former self. ",https://hammerhouseofhorror.fandom.com/wiki/Spectre_(1996)
mitch,the birds,223,Adult,Defence Lawyer,Unknown,USA, ,"Back in your gilded cage, Melanie Daniels.",True,u3172,m208,A man,"Lawyer Mitch Brenner is looking to buy lovebirds for his sister Cathy's 11th birthday. Mitch pretends to mistake Melanie for a shop employee and tests Melanie's knowledge of birds, which she fails. ",https://en.wikipedia.org/wiki/The_Birds_(film)
crash,bull durham,137,Adult,Minor league Catcher; Mentor,Unknown,USA,Played by Kevin Costner,"Be cocky and arrogant, even when you’re getting beat. That’s the secret. You gotta play this game with fear and arrogance",True,u4317,m288,A man,"""Crash"" Davis, a 12-year veteran in minor league baseball, is sent down as the team's catcher to educate LaLoosh and control his haphazard pitching. Crash immediately begins calling Ebby by the degrading nickname of ""Meat"". Crash forces Nuke to learn ""not to think"" and develops a relationship with Annie. ",https://en.wikipedia.org/wiki/Bull_Durham
dignan,bottle rocket,319,Young Adult,"Former Landscaper, Current Criminal",Unknown,USA,Directed by Wes Anderson,"Be sensitive to the fact that other people are not comfortable talking about emotional disturbances. Um, you know, I am, I'm fine with that, but... other people.",True,u603,m38,A man,"Dignan ""rescues"" his friend Anthony from a voluntary psychiatric unit. Dignan has an elaborate escape plan and has developed a 75-year plan that he shows to Anthony. Dignan gets put in prison but jokes about it. ",https://en.wikipedia.org/wiki/Bottle_Rocket
veronica,clerks.,105,Young Adult,College Student,Unknown,USA,,Because I DID only have sex with three different guys; that doesn't mean I didn't just go with people.,True,u4540,m299,A woman,"Veronica, is Dante's girlfriend in the beginning of Clerks.. She is currently attending college and frequently makes attempts to encourage Dante to quit his dead-end job at the Quick Stop. Tensions arise between the two during a conversation about sexual relations, when Veronica reveals that she has performed oral sex on 37 men, including Dante. Later, as an apology, Veronica returns to the Quick Stop with some lasagna for Dante. The relationship ends in a sour note when Randal tells Veronica at the video store that Dante is dumping her to get back with Caitlin, despite the fact that Dante reconsidered this decision; as a result, Veronica storms in at the Quick Stop and attacks Dante before leaving.",https://viewaskewniverse.fandom.com/wiki/Veronica_Loughran
mary,the seventh victim,126,Teen,Private School Student,Unknown,USA ,,"Because I loved Jacqueline I thought I knew her. Today I found out such strange things, frightening things. ",True,u2675,m174,A woman,"Mary Gibson, a young woman at Highcliffe Academy, an expensive boarding school, learns that her older sister and only relative, Jacqueline, has gone missing and has not paid Mary's tuition in months. Mary is anxious and determined to find her sister.",https://en.wikipedia.org/wiki/The_Seventh_Victim
